model_id,model_name,original_model_id,fold,test_subject,count_mae,count_mae_pos,count_mae_neg,mean_pred_count_on_neg,mean_gt_count_on_pos,num_test_samples,source_path
S3,CRNN,S3,7,55502,0.37335382823596946,1.4312117682562935,0.025882260792338064,0.025882260792338064,15.24731313917372,364,runs/loso_structure_compare_v2_0p7m_20260520_163130/S3/fold_07_test_55502/test_results.json
S3,CRNN,S3,8,74768,0.8143051007655279,3.40004747022282,0.04034138681227658,0.04034138681227658,10.36668348312378,382,runs/loso_structure_compare_v2_0p7m_20260520_163130/S3/fold_08_test_74768/test_results.json
S3,CRNN,S3,9,76918,0.6894327702923356,2.5198666883069416,0.22914822961677583,0.22914822961677583,12.481145370838254,428,runs/loso_structure_compare_v2_0p7m_20260520_163130/S3/fold_09_test_76918/test_results.json
S3,CRNN,S3,10,84479,0.29509092930783615,1.2554484714161267,0.001648350803103919,0.001648350803103919,10.07782682505521,376,runs/loso_structure_compare_v2_0p7m_20260520_163130/S3/fold_10_test_84479/test_results.json
S3,CRNN,S3,11,86463,0.5598283286915341,1.4899258017539978,0.26803304099788267,0.26803304099788267,14.012078046798706,268,runs/loso_structure_compare_v2_0p7m_20260520_163130/S3/fold_11_test_86463/test_results.json
S3,CRNN,S3,12,87369,0.3896758209282909,0.43050231716849585,0.37675230566867823,0.37675230566867823,9.75364654714411,366,runs/loso_structure_compare_v2_0p7m_20260520_163130/S3/fold_12_test_87369/test_results.json
S3,CRNN,S3,13,87447,0.14490890378103205,0.45516369190621886,0.04364519023026029,0.04364519023026029,10.174339375597365,382,runs/loso_structure_compare_v2_0p7m_20260520_163130/S3/fold_13_test_87447/test_results.json
S3,CRNN,S3,14,97706,2.0137242968312377,0.41111123284628226,2.4612071560574815,2.4612071560574815,10.887312950089921,394,runs/loso_structure_compare_v2_0p7m_20260520_163130/S3/fold_14_test_97706/test_results.json
S4,BiCRNN,S4,0,14287,0.09299047824948332,0.4501791333043298,0.0036933143558197244,0.0036933143558197244,9.104665401370026,430,runs/loso_structure_compare_v2_0p7m_20260520_230603/S4/fold_00_test_14287/test_results.json
S4,BiCRNN,S4,1,14342,0.7864256519537706,1.142283555000059,0.6749953642638042,0.6749953642638042,11.188558024744834,260,runs/loso_structure_compare_v2_0p7m_20260520_230603/S4/fold_01_test_14342/test_results.json
S4,BiCRNN,S4,2,14547,0.23725021211662103,1.0606240901080044,0.006495738840976338,0.006495738840976338,11.529829502105713,402,runs/loso_structure_compare_v2_0p7m_20260520_230603/S4/fold_02_test_14547/test_results.json
S4,BiCRNN,S4,3,20794,0.4054978648517408,1.6744127001081195,0.008961973054933228,0.008961973054933228,8.121994781494141,294,runs/loso_structure_compare_v2_0p7m_20260520_230603/S4/fold_03_test_20794/test_results.json
S4,BiCRNN,S4,4,38936,0.4066103242411472,1.7076826197035768,0.012091638604479451,0.012091638604479451,11.453274179012217,404,runs/loso_structure_compare_v2_0p7m_20260520_230603/S4/fold_04_test_38936/test_results.json
S4,BiCRNN,S4,5,47779,0.6247218477659385,2.416783957254319,0.07533053923262296,0.07533053923262296,12.405769620622907,358,runs/loso_structure_compare_v2_0p7m_20260520_230603/S4/fold_05_test_47779/test_results.json
S4,BiCRNN,S4,6,49661,0.3358941945806146,0.08300273314766261,0.4114331968201252,0.4114331968201252,9.380694493003514,400,runs/loso_structure_compare_v2_0p7m_20260520_230603/S4/fold_06_test_49661/test_results.json
S4,BiCRNN,S4,7,55502,0.1258108310380971,0.48400090005662705,0.008157160867304697,0.008157160867304697,15.24731313917372,364,runs/loso_structure_compare_v2_0p7m_20260520_230603/S4/fold_07_test_55502/test_results.json
S4,BiCRNN,S4,8,74768,0.5055918328425023,2.036346272988753,0.047406826789180435,0.047406826789180435,10.36668348312378,382,runs/loso_structure_compare_v2_0p7m_20260520_230603/S4/fold_08_test_74768/test_results.json
S4,BiCRNN,S4,9,76918,0.5535127485745421,1.1605302012243937,0.4008709369172827,0.4008709369172827,12.481145370838254,428,runs/loso_structure_compare_v2_0p7m_20260520_230603/S4/fold_09_test_76918/test_results.json
S4,BiCRNN,S4,10,84479,0.06708782451583985,0.25298390605232934,0.010286244887134267,0.010286244887134267,10.07782682505521,376,runs/loso_structure_compare_v2_0p7m_20260520_230603/S4/fold_10_test_84479/test_results.json
S4,BiCRNN,S4,11,86463,0.7023878471175237,1.3923650532960892,0.4859244026535866,0.4859244026535866,14.012078046798706,268,runs/loso_structure_compare_v2_0p7m_20260520_230603/S4/fold_11_test_86463/test_results.json
S4,BiCRNN,S4,12,87369,0.18731991230138664,0.2957241047512401,0.15300491546019376,0.15300491546019376,9.75364654714411,366,runs/loso_structure_compare_v2_0p7m_20260520_230603/S4/fold_12_test_87369/test_results.json
S4,BiCRNN,S4,13,87447,0.06540086568962217,0.20820030760257802,0.018792712621183857,0.018792712621183857,10.174339375597365,382,runs/loso_structure_compare_v2_0p7m_20260520_230603/S4/fold_13_test_87447/test_results.json
S4,BiCRNN,S4,14,97706,2.005681040323325,0.37629055422405866,2.460640727699577,2.460640727699577,10.887312950089921,394,runs/loso_structure_compare_v2_0p7m_20260520_230603/S4/fold_14_test_97706/test_results.json
S5,BiGRU,A0,0,14287,0.15909616753112438,0.5957217604614967,0.049939770338147185,0.049939770338147185,9.104665401370026,430,runs/loso_ablation_tcn_bigru_v2_0p7m_20260521_051932/A0/fold_00_test_14287/test_results.json
S5,BiGRU,A0,1,14342,0.58566870872791,1.7117077919744677,0.23307060954546688,0.23307060954546688,11.188558024744834,260,runs/loso_ablation_tcn_bigru_v2_0p7m_20260521_051932/A0/fold_01_test_14342/test_results.json
S5,BiGRU,A0,2,14547,0.5175044761961373,0.95633019100536,0.3945214755975517,0.3945214755975517,11.529829502105713,402,runs/loso_ablation_tcn_bigru_v2_0p7m_20260521_051932/A0/fold_02_test_14547/test_results.json
